hand0,hand1,cc0,cc1,cc2,cc3,cc4,b0,b1,b2,mean
0,1,2,3,4,5,6,54,0,936,0.945455
0,1,2,3,4,5,7,54,0,936,0.945455
0,1,2,3,4,5,8,15,0,975,0.984848
0,1,2,3,4,5,9,15,0,975,0.984848
0,1,2,3,4,5,10,15,0,975,0.984848
0,1,2,3,4,5,11,15,0,975,0.984848
0,1,2,3,4,5,12,15,0,975,0.984848
0,1,2,3,4,5,13,1,0,989,0.99899
0,1,2,3,4,5,14,1,0,989,0.99899
0,1,2,3,4,5,15,1,0,989,0.99899
0,1,2,3,4,5,16,1,0,989,0.99899
0,1,2,3,4,5,17,1,0,989,0.99899
0,1,2,3,4,5,18,1,0,989,0.99899
0,1,2,3,4,5,19,1,0,989,0.99899
0,1,2,3,4,5,20,1,0,989,0.99899
0,1,2,3,4,5,21,1,0,989,0.99899
0,1,2,3,4,5,22,1,0,989,0.99899
0,1,2,3,4,5,23,1,0,989,0.99899
0,1,2,3,4,5,24,1,0,989,0.99899
0,1,2,3,4,5,25,1,0,989,0.99899
0,1,2,3,4,5,26,1,0,989,0.99899
0,1,2,3,4,5,27,1,0,989,0.99899
0,1,2,3,4,5,28,1,0,989,0.99899
0,1,2,3,4,5,29,1,0,989,0.99899
0,1,2,3,4,5,30,1,0,989,0.99899
0,1,2,3,4,5,31,1,0,989,0.99899
0,1,2,3,4,5,32,1,0,989,0.99899
0,1,2,3,4,5,33,1,0,989,0.99899
0,1,2,3,4,5,34,1,0,989,0.99899
0,1,2,3,4,5,35,1,0,989,0.99899
0,1,2,3,4,5,36,1,0,989,0.99899
0,1,2,3,4,5,37,1,0,989,0.99899
0,1,2,3,4,5,38,1,0,989,0.99899
0,1,2,3,4,5,39,1,0,989,0.99899
0,1,2,3,4,5,40,1,0,989,0.99899
0,1,2,3,4,5,41,1,0,989,0.99899
0,1,2,3,4,5,42,1,0,989,0.99899
0,1,2,3,4,5,43,1,0,989,0.99899
0,1,2,3,4,5,44,1,0,989,0.99899
0,1,2,3,4,5,45,1,0,989,0.99899
0,1,2,3,4,5,46,1,0,989,0.99899
0,1,2,3,4,5,47,1,0,989,0.99899
0,1,2,3,4,5,48,1,0,989,0.99899
0,1,2,3,4,5,49,1,0,989,0.99899
0,1,2,3,4,5,50,1,0,989,0.99899
0,1,2,3,4,5,51,1,0,989,0.99899
0,1,2,3,4,6,7,54,0,936,0.945455
0,1,2,3,4,6,8,15,0,975,0.984848
0,1,2,3,4,6,9,15,0,975,0.984848
0,1,2,3,4,6,10,15,0,975,0.984848
0,1,2,3,4,6,11,15,0,975,0.984848
0,1,2,3,4,6,12,15,0,975,0.984848
0,1,2,3,4,6,13,1,0,989,0.99899
0,1,2,3,4,6,14,1,0,989,0.99899
0,1,2,3,4,6,15,1,0,989,0.99899
0,1,2,3,4,6,16,1,0,989,0.99899
0,1,2,3,4,6,17,1,0,989,0.99899
0,1,2,3,4,6,18,1,0,989,0.99899
0,1,2,3,4,6,19,1,0,989,0.99899
0,1,2,3,4,6,20,1,0,989,0.99899
0,1,2,3,4,6,21,1,0,989,0.99899
0,1,2,3,4,6,22,1,0,989,0.99899
0,1,2,3,4,6,23,1,0,989,0.99899
0,1,2,3,4,6,24,1,0,989,0.99899
0,1,2,3,4,6,25,1,0,989,0.99899
0,1,2,3,4,6,26,1,0,989,0.99899
0,1,2,3,4,6,27,1,0,989,0.99899
0,1,2,3,4,6,28,1,0,989,0.99899
0,1,2,3,4,6,29,1,0,989,0.99899
0,1,2,3,4,6,30,1,0,989,0.99899
0,1,2,3,4,6,31,1,0,989,0.99899
0,1,2,3,4,6,32,1,0,989,0.99899
0,1,2,3,4,6,33,1,0,989,0.99899
0,1,2,3,4,6,34,1,0,989,0.99899
0,1,2,3,4,6,35,1,0,989,0.99899
0,1,2,3,4,6,36,1,0,989,0.99899
0,1,2,3,4,6,37,1,0,989,0.99899
0,1,2,3,4,6,38,1,0,989,0.99899
0,1,2,3,4,6,39,1,0,989,0.99899
0,1,2,3,4,6,40,1,0,989,0.99899
0,1,2,3,4,6,41,1,0,989,0.99899
0,1,2,3,4,6,42,1,0,989,0.99899
0,1,2,3,4,6,43,1,0,989,0.99899
0,1,2,3,4,6,44,1,0,989,0.99899
0,1,2,3,4,6,45,1,0,989,0.99899
0,1,2,3,4,6,46,1,0,989,0.99899
0,1,2,3,4,6,47,1,0,989,0.99899
0,1,2,3,4,6,48,1,0,989,0.99899
0,1,2,3,4,6,49,1,0,989,0.99899
0,1,2,3,4,6,50,1,0,989,0.99899
0,1,2,3,4,6,51,1,0,989,0.99899
0,1,2,3,4,7,8,15,0,975,0.984848
0,1,2,3,4,7,9,15,0,975,0.984848
0,1,2,3,4,7,10,15,0,975,0.984848
0,1,2,3,4,7,11,15,0,975,0.984848
0,1,2,3,4,7,12,15,0,975,0.984848
0,1,2,3,4,7,13,1,0,989,0.99899
0,1,2,3,4,7,14,1,0,989,0.99899
0,1,2,3,4,7,15,1,0,989,0.99899
0,1,2,3,4,7,16,1,0,989,0.99899
